,University,Type,City,Website,Address,Credential Type,Email,Fax,Joint Credential Type,Joint Program Level,Program Level,Telephone,Toll Free
76,Aveda Institute,ADVANCED CERTIFICATE PROGRAM - TORONTO,"Calgary, Alberta",http://avedainstitute.ca/en/school/toronto,"Aveda Institute Calgary225 - 8th Avenue SWCalgary, Alberta T2P 1B7Canada",Certificate,info@avedainstitute.ca,,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(403) 264-5070,
77,Aveda Institute,ADVANCED CERTIFICATE PROGRAM - VANCOUVER,"Calgary, Alberta",http://avedainstitute.ca/en/school/vancouver,"Aveda Institute Calgary225 - 8th Avenue SWCalgary, Alberta T2P 1B7Canada",Certificate,info@avedainstitute.ca,,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(403) 264-5070,
78,Aveda Institute,ADVANCED CERTIFICATE PROGRAM - WINNIPEG,"Calgary, Alberta",http://avedainstitute.ca/en/school/winnipeg,"Aveda Institute Calgary225 - 8th Avenue SWCalgary, Alberta T2P 1B7Canada",Certificate,info@avedainstitute.ca,,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(403) 264-5070,
79,Makami College Inc.,Advanced Clinical Massage Therapy,"Edmonton, Alberta",http://makamicollege.com/licensed-programs/,"Makami College Inc.Suite 205A, Capilano MallEdmonton, Alberta T6AA1Canada",Diploma,info@makamicollege.com,,Unknown,University Graduate unknown level,College or CEGEP postsecondary program,(780) 468-3454,
80,Academy of Learning,Advanced Computerized Office Procedures,"Medicine, Alberta",http://www.academyoflearning.com/ab/advanced-computerized-office-procedures,"Academy of Learning115 3030 13 AveMedicine Hat, Alberta T1B 1E3Canada",Diploma,medicinehat@academyoflearning.ab.ca ,,Not entered,Not entered,College or CEGEP postsecondary program,(403) 526-5833,1-855-978-3988
81,CDI College,Advanced Early Childhood,"Abbotsford, Columbia",http://www.cdicollege.ca/programs-and-courses/advanced-early-childhood-ab/,"CDI College - Abbotsford Campus31838 South Fraser WayAbbotsford, British Columbia V2T 1V3Canada",Diploma,,,Not entered,Not entered,College or CEGEP postsecondary program,,1-800-675-4392
82,NorQuest College,Advanced Education in Orthopaedics for Licensed Practical Nurses (LPNs),"Edmonton, Alberta",http://www.norquest.ca/cal/current/program/advanced-education-in-orthopaedics-for-lpns/,"NorQuest CollegeDowntown Campus, Main BuildingEdmonton, Alberta T5J 1L6Canada",Certificate,info@norquest.ca,,Not entered,Not entered,College Post-Diploma Program,(780) 644-6000,
83,Canadian School of Natural Nutrition,Advanced Holistic Nutrition Program,"Moncton, Brunswick",http://csnn.ca/programs/advanced-nutrition/an-info/,"Canadian School of Natural Nutrition - Moncton1201 Mountain RoadMoncton, New Brunswick E1C 2T4Canada",Diploma,moncton@csnn.ca,(506) 384-4692,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(506) 384-2700,
84,Lambton College of Applied Arts and Technology,Advanced Law Enforcement & Justice,"Sarnia, Ontario",http://www.lambtoncollege.ca/custom/LambtonApps/Programs/Full-Time.aspx?id=2147504164,"Lambton College - Main Campus1457 London RoadSarnia, Ontario N7S 6K4Canada",Certificate,info@lambtoncollege.ca ,,Unknown,University Graduate unknown level,College or CEGEP postsecondary program,(519) 542-7751,
85,Artists Within,Advanced Makeup Diploma,"Calgary, Alberta",http://www.artistswithin.com/#AdvancedMakeupDiploma,"Artists WithinSuite 306, 822 11th Avenue SWCalgary, Alberta T2R 0E5Canada",Diploma,info@artistswithin.com,,Unknown,University Graduate unknown level,College or CEGEP postsecondary program,(403) 208-0034,
86,CDI College,Advanced Massage Therapy,"Abbotsford, Columbia",http://www.cdicollege.ca/Programs-and-Courses/Advanced-Massage-Therapy,"CDI College - Abbotsford Campus31838 South Fraser WayAbbotsford, British Columbia V2T 1V3Canada",Diploma,,,Not entered,Not entered,College or CEGEP postsecondary program,,1-800-675-4392
87,Northern Institute of Massage Therapy Inc.,Advanced Massage Therapy,"Red, Alberta",http://nimt.ca/advanced,"Northern Institute of Massage Therapy Inc.219, 3722 57 AveRed Deer, Alberta T4N 4R7Canada",Certificate,info@nimt.ca,(587) 317-7401,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,,1-888-261-8999
88,Robertson College,Advanced Massage Therapy,"Winnipeg, Manitoba",http://www.robertsoncollege.com/programs/health-care/advanced-massage-therapy/,"Robertson College - Winnipeg265 Notre Dame AvenueWinnipeg, Manitoba R3B 1N9Canada",Diploma,info@robertsoncollege.com,(204) 926-8320,Not entered,Not entered,College or CEGEP postsecondary program,(204) 926-8389,1-888-892-5262
89,Alberta Institute of Massage,Advanced Massage Therapy Diploma,"Red, Alberta",http://www.albertainstituteofmassage.com/programs.htm,"Alberta Institute of Massage7710 Gaetz Avenue Red Deer , Alberta T4P 2A5Canada",Diploma,info@AlbertaInstituteOfMassage.com,(403) 346-0606 ,Not entered,Not entered,College or CEGEP postsecondary program,(403) 346-1018 ,
90,Alberta Institute of Massage,Advanced Massage Therapy Diploma - Part-time,"Red, Alberta",http://www.albertainstituteofmassage.com/programs.htm,"Alberta Institute of Massage7710 Gaetz Avenue Red Deer , Alberta T4P 2A5Canada",Diploma,info@AlbertaInstituteOfMassage.com,(403) 346-0606 ,Not entered,Not entered,College or CEGEP postsecondary program,(403) 346-1018 ,
91,Professional Institute of Massage Therapy,Advanced Massage Therapy Diploma Program - Calgary,"Calgary, Alberta",http://www.pimtmassage.com/pimt_2016_may_006.htm,"Professional Institute of Massage Therapy - Calgary Campus#310 - 15 Royal Vista Place NWCalgary, Alberta T3R 0P3Canada",Diploma,calgary@pimtmassage.com,,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(403) 247-4319,
92,Professional Institute of Massage Therapy,Advanced Massage Therapy Diploma Program - Saskatoon,"Calgary, Alberta",http://www.pimtmassage.com/pimt_2016_may_007.htm,"Professional Institute of Massage Therapy - Calgary Campus#310 - 15 Royal Vista Place NWCalgary, Alberta T3R 0P3Canada",Diploma,calgary@pimtmassage.com,,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(403) 247-4319,
93,Lambton College of Applied Arts and Technology,Advanced Power Engineering Technology (2nd Class),"Sarnia, Ontario",http://www.lambtoncollege.ca/custom/LambtonApps/Programs/Part-Time.aspx?id=2147505441&type=PI,"Lambton College - Main Campus1457 London RoadSarnia, Ontario N7S 6K4Canada",Certificate,info@lambtoncollege.ca ,,Unknown,University Graduate unknown level,College or CEGEP postsecondary program,(519) 542-7751,
94,Northern Lakes College,Advanced Skills for Leadership,"Slave, Alberta",https://www.northernlakescollege.ca/programs-courses/programs#/programs/121,"Northern Lakes College - Slave Lake Campus1201 Main Street SE     Slave Lake, Alberta T0G 2A0Canada",Certificate,,(780) 849-2570,Not entered,Not entered,College or CEGEP postsecondary program,(780) 849-8600,
95,Mount Royal University,Advanced Studies in Critical Care Nursing - Certificate,"Calgary, Alberta",http://www.mtroyal.ca/ProgramsCourses/FacultiesSchoolsCentres/HealthCommunityStudies/Programs/AdvancedStudiesinCriticalCareNursingCertificate/index.htm,"Mount Royal University - Lincoln Park Campus4825 Mount Royal Gate SWCalgary, Alberta T3E 6K6Canada",Certificate,,,Not entered,Not entered,College Post-Diploma Program,(403) 440-6111,
96,Burman University,Adventure Based Counseling,"Lacombe, Alberta",http://www.cauc.ca/outwardpursuits,"Canadian University College6730 University DriveLacombe, Alberta T4L 2E5Canada",Degree,info@cauc.ca,(866) 931-2656,Not entered,Not entered,"Bachelor degree (B.A., B.Sc)",(403) 782-3381,1-800-661-8129
97,Alberta Academy of Aesthetics,Aesthetics,"Edmonton, Alberta",http://www.academyofaesthetics.com/w_aesthetics_program.aspx?,"Alberta Academy of AestheticsWest Edmonton MallEdmonton, Alberta T5T 3J7Canada",Diploma,,(780) 486-7504,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(780) 486-7201 ,1-800-661-4675 
98,Sultana's Beauty Clinic And School,Aesthetics,"Red, Alberta",http://www.sultanasbeauty.com/,"Sultana's Beauty Clinic & School76 Boyce StRed Deer, Alberta T4R 1L3Canada",Diploma,sheebaparis@hotmail.com,,Unknown,University Graduate unknown level,Non-postsecondary trade/vocational or pre-employment program,(403) 342¿5525 ,
99,Cosmopolitan Make-Up Artistry College,Aesthetics Program,"Edmonton, Alberta",http://cmacollege.com/esthetics-program/,"Cosmopolitan Make-Up Artistry College10014 109th Street NWEdmonton, Alberta T5J 1M4Canada",Diploma,info@cmacdirect.com,(780) 420-0534,Unknown,Not entered,College or CEGEP postsecondary program,(780) 428-4636,1-855-660-4636
100,Medi Aesthetics Institute of Canada,Aesthetics Program,"Red, Alberta",http://www.mediinstitute.ca/programs-module/,"Medi Aesthetics Institute of Canada4601 50 AvenueRed Deer, Alberta T4N 3Z9Canada",Diploma,info@mediinstitute.ca,(403) 346-4303,Not entered,Not entered,College unknown level,(403) 347-3900,1-877-347-3901
101,Lethbridge College,Agiculture Business Risk Management,"Lethbridge, Alberta",,"Lethbridge College3000 College Drive SouthLethbridge, Alberta T1K 1L6Canada",Certificate, info@lethbridgecollege.ca,,Not entered,Not entered,Not entered,(403) 320-3200,1-800-572-0103
102,Lambton College of Applied Arts and Technology,Aging Transitions,"Sarnia, Ontario",http://www.lambtoncollege.ca/custom/LambtonApps/Programs/Part-Time.aspx?id=2147506457,"Lambton College - Main Campus1457 London RoadSarnia, Ontario N7S 6K4Canada",Certificate,info@lambtoncollege.ca ,,Unknown,University Graduate unknown level,College or CEGEP postsecondary program,(519) 542-7751,
103,Lakeland College,Agribusiness,"Vermilion, Alberta",http://www.lakelandcollege.ca/academics/agricultural-sciences/programs-and-courses/agribusiness/,"Lakeland College5707 College DriveVermilion, Alberta T9X 1K5Canada",Diploma,admissions@lakelandcollege.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 853-8400,1-800-661-6490
104,Olds College,Agricultural and Heavy Equipment Program - Certificate/Diploma,"Olds, Alberta",https://www.oldscollege.ca/programs/trades/agricultural-heavy-equipment/index.html,"Olds College4500 - 50th StreetOlds, Alberta T4H 1R6Canada",Diploma, ,(403) 556-4711,Certificate,Apprenticeship Program,College or CEGEP postsecondary program,(403) 556-8281,1-800-661-6537 
105,Lethbridge College,Agricultural and Heavy Equipment Technician,"Lethbridge, Alberta",http://www.lethbridgecollege.ca/program/heavy-equipment-technician,"Lethbridge College3000 College Drive SouthLethbridge, Alberta T1K 1L6Canada",Certificate, info@lethbridgecollege.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(403) 320-3200,1-800-572-0103
106,Olds College,Agricultural Equipment Technician Apprenticeship,"Olds, Alberta",https://www.oldscollege.ca/programs/apprenticeship/apprenticeship-programs/Agricultural-Equipment-TechnicianApprenticeship/,"Olds College4500 - 50th StreetOlds, Alberta T4H 1R6Canada",Certificate, ,(403) 556-4711,Not entered,Not entered,Apprenticeship Program,(403) 556-8281,1-800-661-6537 
107,Southern Alberta Institute of Technology (SAIT),Agricultural Equipment Technicians Apprenticeship,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/apprenticeships-and-trades/apprenticeships/apprenticeship-agricultural-equipment-technician.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",Certificate,advising@sait.ca,(403) 284-7112,Not entered,Not entered,Apprenticeship Program,(403) 284-7248,1-877-284-7248
108,University of Alberta,"Agricultural, Food and Nutritional Science (MAg, MEnd, MSc)","Edmonton, Alberta",http://uofa.ualberta.ca/graduate-studies/programs/search#4697E481CCCB46BF885F86A4E61FB83F,"University of Alberta116 St. and 85 Ave.Edmonton, Alberta T6G 2R3Canada",Degree,,,Not entered,Not entered,"Master's Degree (M.A., M.Sc.)",(780) 492-3111,
109,University of Alberta,"Agricultural, Food and Nutritional Science (PhD)","Edmonton, Alberta",http://uofa.ualberta.ca/graduate-studies/programs/search#4697E481CCCB46BF885F86A4E61FB83F,"University of Alberta116 St. and 85 Ave.Edmonton, Alberta T6G 2R3Canada",Degree,,,Unknown,Not entered,Ph.D (Doctorate),(780) 492-3111,
110,Lakeland College,Agricultural Management,"Vermilion, Alberta",http://www.lakelandcollege.ca/academics/online-and-blended-learning/programs-and-courses/agricultural-management/,"Lakeland College5707 College DriveVermilion, Alberta T9X 1K5Canada",Certificate,admissions@lakelandcollege.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 853-8400,1-800-661-6490
111,Olds College,Agricultural Management,"Olds, Alberta",https://www.oldscollege.ca/programs/agriculture/agricultural-management/,"Olds College4500 - 50th StreetOlds, Alberta T4H 1R6Canada",Diploma, ,(403) 556-4711,Not entered,Not entered,College or CEGEP postsecondary program,(403) 556-8281,1-800-661-6537 
112,Olds College,Agricultural Management - Finance Major,"Olds, Alberta",https://www.oldscollege.ca/programs/agriculture/agricultural-management/majors/finance-major/,"Olds College4500 - 50th StreetOlds, Alberta T4H 1R6Canada",Diploma, ,(403) 556-4711,Not entered,Not entered,College or CEGEP postsecondary program,(403) 556-8281,1-800-661-6537 
113,Olds College,Agricultural Management - Marketing Major,"Olds, Alberta",https://www.oldscollege.ca/programs/agriculture/agricultural-management/majors/marketing-major/,"Olds College4500 - 50th StreetOlds, Alberta T4H 1R6Canada",Diploma, ,(403) 556-4711,Not entered,Not entered,College or CEGEP postsecondary program,(403) 556-8281,1-800-661-6537 
114,Lakeland College,Agriculture,"Vermilion, Alberta",http://www.lakelandcollege.ca/academics/continuing-edu/programs-and-courses/agriculture/,"Lakeland College5707 College DriveVermilion, Alberta T9X 1K5Canada",Unknown,admissions@lakelandcollege.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 853-8400,1-800-661-6490
115,Lethbridge College,Agriculture Sciences,"Lethbridge, Alberta",http://www.lethbridgecollege.ca/program/agriculture-sciences,"Lethbridge College3000 College Drive SouthLethbridge, Alberta T1K 1L6Canada",Diploma, info@lethbridgecollege.ca,,Unknown,Not entered,College or CEGEP postsecondary program,(403) 320-3200,1-800-572-0103
116,Olds College,Agronomy Certificate Level One,"Olds, Alberta",https://www.oldscollege.ca/continuing-education/agriculture/agronomy-certificate-program/agronomy-certificate-level-1/,"Olds College4500 - 50th StreetOlds, Alberta T4H 1R6Canada",Certificate, ,(403) 556-4711,Not entered,Not entered,College or CEGEP postsecondary program,(403) 556-8281,1-800-661-6537 
117,Lakeland College,Aide-élève,"Vermilion, Alberta",http://www.lakelandcollege.ca/academics/en-ligne/programmes-et-cours/aide-eleve/,"Lakeland College5707 College DriveVermilion, Alberta T9X 1K5Canada",Certificate,admissions@lakelandcollege.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 853-8400,1-800-661-6490
118,Southern Alberta Institute of Technology (SAIT),Aircraft Maintenance Engineers Technology,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/full-time-studies/diplomas/aircraft-maintenance-engineers-technology-course-overview.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",Diploma,advising@sait.ca,(403) 284-7112,Not entered,Not entered,College or CEGEP postsecondary program,(403) 284-7248,1-877-284-7248
119,Southern Alberta Institute of Technology (SAIT),Aircraft Structures Technician,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/full-time-studies/certificates/aircraft-structures-technician-course-overview.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",Diploma,advising@sait.ca,(403) 284-7112,Not entered,Not entered,College or CEGEP postsecondary program,(403) 284-7248,1-877-284-7248
120,Advanced Heli-Flight Ltd,Airline Transport Pilot Licence - Helicopters,"Lincoln, Brunswick",http://advancedheliflight.com/page22.html,"Advanced Heli-Flight Ltd - Fredriction International Airport2490 Route 102Lincoln, New Brunswick E3B 7E6Canada",Certificate,ask@advancedheliflight.com,,Unknown,University Graduate unknown level,Non-postsecondary trade/vocational or pre-employment program,(506) 474-2803,
121,Columbia College (Alberta),Alberta Basic Security Training,"Calgary, Alberta",http://www.columbia.ab.ca/programs-courses/professional-programs/alberta-basic-security-training/,"Columbia College802 Manning Road NECalgary, Alberta T2E 7N8Canada",Other type of credential,columbia@columbia.ab.ca,(403) 272-3805,Not entered,Not entered,College or CEGEP postsecondary program,(403) 235-9300,1-888-235-9370
122,Northern Alberta Institute of Technology (NAIT),Alternative Energy Technology,"Edmonton, Alberta",http://www.nait.ca/program_home_76007.htm,"Northern Alberta Institute of Technology (NAIT)11762 - 106 StreetEdmonton, Alberta T5G 2R1Canada",Diploma,AskNAIT@nait.ca,(780) 471-8490,Not entered,Not entered,College or CEGEP postsecondary program,(780) 471-6248,1-877-333-6248
123,Lakeland College,American Sign Language and Deaf Culture Studies,"Vermilion, Alberta",http://www.lakelandcollege.ca/academics/human-services/programs-and-courses/sign-language-and-deaf-studies/,"Lakeland College5707 College DriveVermilion, Alberta T9X 1K5Canada",Certificate,admissions@lakelandcollege.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 853-8400,1-800-661-6490
124,University of Alberta,Anaesthesiology (MSc),"Edmonton, Alberta",http://uofa.ualberta.ca/graduate-studies/programs/search#1C24A562D8A641E6B6B53555AB5D390B,"University of Alberta116 St. and 85 Ave.Edmonton, Alberta T6G 2R3Canada",Degree,,,Unknown,Not entered,"Master's Degree (M.A., M.Sc.)",(780) 492-3111,
125,University of Calgary ,Ancient and Medieval History (B.A.),"Calgary, Alberta",http://www.ucalgary.ca/future-students/undergraduate/explore-programs/ancient-and-medieval-history,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,"Bachelor degree (B.A., B.Sc)",(403) 210-7625,
126,Alberta Business & Educational Services (ABES),Animal Care,"Calgary, Alberta",http://www.abes.ca/programs/animal-care,"Alberta Business & Educational Services221 18th Street SE, #10Calgary, Alberta T2E 6J5Canada",Certificate,recruiter@abes.ca ,(403) 265-9368,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(403) 232-8758 ,
127,Grande Prairie Regional College,Animal Health Technology,"Grande, Alberta",https://www.gprc.ab.ca/programs/animal-health-technology.html,"Grande Prairie Regional College - Grande Prairie Campus10726-106 AvenueGrande Prairie, Alberta T8V 4C4Canada",Diploma,,(1-780) 539-2832 ,Not entered,Not entered,College or CEGEP postsecondary program,(780) 539-2911,1-888-539-4772
128,Lakeland College,Animal Health Technology,"Vermilion, Alberta",http://www.lakelandcollege.ca/academics/agricultural-sciences/programs-and-courses/animal-health-tech/,"Lakeland College5707 College DriveVermilion, Alberta T9X 1K5Canada",Diploma,admissions@lakelandcollege.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 853-8400,1-800-661-6490
129,Northern Alberta Institute of Technology (NAIT),Animal Health Technology,"Edmonton, Alberta",http://www.nait.ca/program_home_76035.htm,"Northern Alberta Institute of Technology (NAIT)11762 - 106 StreetEdmonton, Alberta T5G 2R1Canada",Diploma,AskNAIT@nait.ca,(780) 471-8490,Not entered,Not entered,College or CEGEP postsecondary program,(780) 471-6248,1-877-333-6248
130,Olds College,Animal Health Technology,"Olds, Alberta",https://www.oldscollege.ca/programs/animal-sciences/animal-health-technology-aht/,"Olds College4500 - 50th StreetOlds, Alberta T4H 1R6Canada",Diploma, ,(403) 556-4711,Not entered,Not entered,College or CEGEP postsecondary program,(403) 556-8281,1-800-661-6537 
131,Lakeland College,Animal Science Technology,"Vermilion, Alberta",http://www.lakelandcollege.ca/academics/agricultural-sciences/programs-and-courses/animal-science-technology/,"Lakeland College5707 College DriveVermilion, Alberta T9X 1K5Canada",Diploma,admissions@lakelandcollege.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 853-8400,1-800-661-6490
132,University of Calgary ,Anthropology (Biological) (B.Sc.),"Calgary, Alberta",http://www.ucalgary.ca/future-students/undergraduate/explore-programs/anthropology-biological,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,"Bachelor degree (B.A., B.Sc)",(403) 210-7625,
133,University of Alberta,Anthropology (MA),"Edmonton, Alberta",http://uofa.ualberta.ca/anthropology/graduate-programs/ma-anthro,"University of Alberta116 St. and 85 Ave.Edmonton, Alberta T6G 2R3Canada",Degree,,,Not entered,Not entered,"Master's Degree (M.A., M.Sc.)",(780) 492-3111,
134,University of Calgary ,Anthropology (MA),"Calgary, Alberta",http://antharky.ucalgary.ca/graduate,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,"Master's Degree (M.A., M.Sc.)",(403) 210-7625,
135,University of Alberta,Anthropology (PhD),"Edmonton, Alberta",http://uofa.ualberta.ca/anthropology/graduate-programs/phd,"University of Alberta116 St. and 85 Ave.Edmonton, Alberta T6G 2R3Canada",Degree,,,Not entered,Not entered,Ph.D (Doctorate),(780) 492-3111,
136,University of Calgary ,Anthropology (PhD),"Calgary, Alberta",http://antharky.ucalgary.ca/graduate,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,Ph.D (Doctorate),(403) 210-7625,
137,University of Calgary ,Anthropology (Social and Cultural) (B.A.),"Calgary, Alberta",http://www.ucalgary.ca/future-students/undergraduate/explore-programs/anthropology-social-and-cultural,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,"Bachelor degree (B.A., B.Sc)",(403) 210-7625,
138,Olds College,Apparel Technology Diploma,"Olds, Alberta",https://www.oldscollege.ca/programs/fashion/apparel-technology/,"Olds College4500 - 50th StreetOlds, Alberta T4H 1R6Canada",Diploma, ,(403) 556-4711,Not entered,Not entered,College or CEGEP postsecondary program,(403) 556-8281,1-800-661-6537 
139,Southern Alberta Institute of Technology (SAIT),Appliance Service Technician,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/apprenticeships-and-trades/apprenticeships/apprenticeship-appliance-service-technician.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",Certificate,advising@sait.ca,(403) 284-7112,Not entered,Not entered,Apprenticeship Program,(403) 284-7248,1-877-284-7248
140,Red Deer College,Applied Bachelor of Motion Picture Arts,"Red, Alberta",http://rdc.ab.ca/programs/motion-picture-arts-applied-bachelor-red-deer-college,"Red Deer College100 College Boulevard Red Deer, Alberta T4N 5H5Canada",Degree,inquire@rdc.ab.ca ,(403) 357-3660,Not entered,Not entered,College Post-Diploma Program,(403) 342-3400,1-888-732-4630
141,Northern Alberta Institute of Technology (NAIT),Applied Banking and Business,"Edmonton, Alberta",http://www.nait.ca/program_home_76063.htm,"Northern Alberta Institute of Technology (NAIT)11762 - 106 StreetEdmonton, Alberta T5G 2R1Canada",Certificate,AskNAIT@nait.ca,(780) 471-8490,Not entered,Not entered,College or CEGEP postsecondary program,(780) 471-6248,1-877-333-6248
142,University of Calgary ,Applied Chemistry (B.Sc.) (cooperative education mandatory),"Calgary, Alberta",http://www.ucalgary.ca/future-students/undergraduate/explore-programs/applied-chemistry-cooperative-education-mandatory,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,"Bachelor degree (B.A., B.Sc)",(403) 210-7625,
143,Southern Alberta Institute of Technology (SAIT),Applied Management Certificate of Achievement,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/continuing-education/courses-and-certificates/applied-management-certificate-of-achievement.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",Certificate,advising@sait.ca,(403) 284-7112,Certificate,Not entered,Apprenticeship Program,(403) 284-7248,1-877-284-7248
144,University of Calgary ,Applied Mathematics (B.Sc.),"Calgary, Alberta",http://www.ucalgary.ca/future-students/undergraduate/explore-programs/applied-mathematics,"University of Calgary 2500 University Drive N.W.Calgary, Alberta T2N 1N4Canada",Degree,future.students@ucalgary.ca ,(403) 220-0762,Not entered,Not entered,"Bachelor degree (B.A., B.Sc)",(403) 210-7625,
145,Elevated Learning Academy,Applied Nutrition Science,"Calgary, Alberta",http://elevatedlearningacademy.com/nutrition-science-diploma-calgary,"Elevated Learning Academy - Calgary Campus6115 10th  St SE 2nd FloorCalgary, Alberta T2H 2Z9Canada",Diploma,info@elevatedlearningacademy.com,,Unknown,Not entered,College or CEGEP postsecondary program,( 403) 802-0933,1-888-544-5573
146,The Orca Institute,Applied Nutrition Science,"Vancouver, Columbia",http://orcainstitute.com/programs/applied-nutrition-science/,"The Orca Institute - Vancouver Campus1202-1255 Bidwell St.Vancouver, British Columbia V6G 2K8Canada",Certificate,info@orcainstitute.com,,Not entered,Not entered,College or CEGEP postsecondary program,(604) 683-8710 ,1-800-665-6722
147,Southern Alberta Institute of Technology (SAIT),Applied Project Management Certificate Of Achievement,"Calgary, Alberta",http://www.sait.ca/programs-and-courses/continuing-education/courses-and-certificates/applied-project-management-certificate-of-achievement.php,"Southern Alberta Institute of Technology - Main Campus1301 16th Ave NWCalgary, Alberta T2M 0L4Canada",Certificate,advising@sait.ca,(403) 284-7112,Not entered,Not entered,College or CEGEP postsecondary program,(403) 284-7248,1-877-284-7248
148,Portage College,Apprenticeship Electrician,"Lac, Alberta",http://www.portagecollege.ca/Programs/Trades-and-Technology/Apprenticeship-Electrician,"Portage College - Lac La Biche Campus9531-94 AvenueLac La Biche, Alberta T0A 2C0Canada",Certificate,,,Not entered,Not entered,Apprenticeship Program,,1-866-623-5551
149,DelMar College of Hair and Esthetics,Apprenticeship Hairstyling Program,"Calgary, Alberta",http://www.delmarcollege.com/apprenticeships%20/?,"DelMar College of Hair and Esthetics5915 1A Street SWCalgary, Alberta T2H 0G4Canada",Certificate,,(403) 264-8050,Not entered,Not entered,Apprenticeship Program,(403) 264-8055,1-888-264-2422
150,NorQuest College,Apprenticeship Prep,"Edmonton, Alberta",http://www.norquest.ca/cal/current/program/apprenticeship-prep/,"NorQuest CollegeDowntown Campus, Main BuildingEdmonton, Alberta T5J 1L6Canada",Certificate,info@norquest.ca,,Not entered,Not entered,College or CEGEP postsecondary program,(780) 644-6000,
151,Portage College,Apprenticeship Steamfitter-Pipefitter,"Lac, Alberta",http://www.portagecollege.ca/Programs/Trades-and-Technology/Apprenticeship-Steamfitter-Pipefitter,"Portage College - Lac La Biche Campus9531-94 AvenueLac La Biche, Alberta T0A 2C0Canada",Certificate,,,Not entered,Not entered,Apprenticeship Program,,1-866-623-5551
152,Lethbridge College,Apprenticeship Training,"Lethbridge, Alberta",http://www.lethbridgecollege.ca/program/apprenticeships,"Lethbridge College3000 College Drive SouthLethbridge, Alberta T1K 1L6Canada",Not entered, info@lethbridgecollege.ca,,Not entered,Not entered,Apprenticeship Program,(403) 320-3200,1-800-572-0103
153,Portage College,Apprenticeship Welding,"Lac, Alberta",http://www.portagecollege.ca/Programs/Trades-and-Technology/Apprenticeship-Welder,"Portage College - Lac La Biche Campus9531-94 AvenueLac La Biche, Alberta T0A 2C0Canada",Certificate,,,Not entered,Not entered,Apprenticeship Program,,1-866-623-5551
154,Mountain View Helicopters,Approved Mountain Course,"Calgary, Alberta",http://www.mvheli.com/mountain_course.aspx,"Mountain View Helicopters402 A Otter BayCalgary, Alberta T3Z 3S6Canada",Certificate,info@mvheli.com,(403) 286-7161,Not entered,Not entered,Non-postsecondary trade/vocational or pre-employment program,(403) 286-7186,
